"domain";"question";"grounded_response"
"finance";"What is the current annual contribution limit for a Roth IRA for individuals under 50 years old as of 2024?";"As of 2024, the annual contribution limit for a Roth IRA is $7,000 for individuals under 50 years old. This represents an increase from the 2023 limit of $6,500, adjusted for inflation."
"finance";"What does P/E ratio stand for in stock market analysis?";"P/E ratio stands for Price-to-Earnings ratio. It is calculated by dividing a company's current stock price by its earnings per share (EPS). This metric helps investors evaluate whether a stock is overvalued or undervalued by showing how much investors are willing to pay for each dollar of the company's earnings."
"finance";"What is the difference between a traditional IRA and a Roth IRA in terms of tax treatment?";"The main tax difference is when you pay taxes. With a traditional IRA, contributions are typically tax-deductible now, but you pay income taxes on withdrawals in retirement. With a Roth IRA, contributions are made with after-tax dollars (no upfront deduction), but qualified withdrawals in retirement are completely tax-free."
"finance";"What is compound interest and how does it differ from simple interest?";"Compound interest is interest calculated on both the initial principal and the accumulated interest from previous periods, meaning you earn interest on interest. Simple interest, in contrast, is calculated only on the original principal amount throughout the entire investment or loan period. This difference means compound interest grows exponentially over time, while simple interest grows linearly, making compound interest significantly more powerful for long-term savings and investments."
"finance";"What does FDIC stand for and what is the standard insurance coverage limit per depositor per bank?";"FDIC stands for Federal Deposit Insurance Corporation. The standard insurance coverage limit is $250,000 per depositor, per insured bank, for each account ownership category."
"finance";"What is a 401(k) plan?";"A 401(k) plan is an employer-sponsored retirement savings account that allows employees to contribute a portion of their pre-tax salary toward retirement investments. Contributions grow tax-deferred until withdrawal, typically after age 59½, and many employers offer matching contributions up to a certain percentage. The plan is named after Section 401(k) of the U.S. Internal Revenue Code that established it."
"finance";"What is the definition of a bear market in terms of percentage decline?";"A bear market is typically defined as a decline of 20% or more in a stock market index or individual security from its recent peak. This decline must be sustained over a period of at least two months to be officially considered a bear market, distinguishing it from a short-term correction (which is usually a 10% decline)."
"finance";"What is dollar-cost averaging as an investment strategy?";"Dollar-cost averaging is an investment strategy where you invest a fixed amount of money at regular intervals (such as monthly or weekly) regardless of market conditions or asset prices. This approach means you automatically buy more shares when prices are low and fewer shares when prices are high, potentially reducing the impact of market volatility and eliminating the need to time the market. It's commonly used with retirement accounts like 401(k)s, where contributions are made with each paycheck."
"finance";"What is the difference between a stock and a bond?";"A stock represents ownership in a company, giving shareholders a claim on the company's assets and earnings, along with potential dividends and voting rights. A bond is a loan to a company or government where the bondholder receives regular interest payments and the principal back at maturity. Stocks offer higher potential returns but more risk, while bonds provide more predictable income with generally lower risk."
"finance";"What does APR stand for and what does it represent?";"APR stands for Annual Percentage Rate. It represents the total yearly cost of borrowing money, expressed as a percentage, which includes the interest rate plus any additional fees or charges associated with the loan. APR allows consumers to compare the true cost of different loans or credit products on a standardized basis."
